id,city,state,zip,region,gradeWalking,avgDaysOfEnjoyableWeather,avgInternetSpeed,avgPopulationDensity,percentDemocrat,percentGraduates,percentIndependent,percentNonReligious,percentReligious,percentRepublican,percentSingle,avgHomePrice,avgCostOfLiving,gradeAirQuality,gradeLowTraffic,gradeSafety,lat,lon,pizzaPlaceTotal,pizzaRatingAvg,group
154,Norwalk,CA,90650,West,0.528735632,1,0.129251701,0.145679916,0.710843373,0.136986301,0.4,0.552631579,0.447368421,0.280487805,0.533333333,0.192187681,0.462092224,0,0,0.647058824,33.9022367,-118.081733,169,4.34,1
155,Wichita Falls,TX,76308,South,0.206896552,0.190184049,0.081632653,0.002875083,0.192771084,0.246575342,0.4,0.5,0.5,0.817073171,0.444444444,0.044724373,0.063460665,0.411764706,1,0.235294118,33.9137085,-98.4933873,87,4.09,0
156,Hawthorne,CA,90250,West,0.620689655,1,0.306122449,0.18854849,0.710843373,0.178082192,0.4,0.552631579,0.447368421,0.280487805,0.622222222,0.255749451,0.407484273,0,0,0.529411765,33.9164032,-118.3525748,157,4.31,1
157,Downey,CA,90242,West,0.505747126,1,0.31292517,0.121811302,0.710843373,0.246575342,0.4,0.552631579,0.447368421,0.280487805,0.444444444,0.222235063,0.407484273,0,0,0.529411765,33.9401088,-118.1331593,172,4.36,1
158,Norcross,GA,30093,South,0.574712644,0.257668712,0.163265306,0.041824322,0.421686747,0.273972603,0.2,0.763157895,0.236842105,0.585365854,0.377777778,0.069686814,0.087359751,0.235294118,0,0.235294118,33.9412127,-84.2135309,160,4.17,0
159,Moreno Valley,CA,92553,West,0.206896552,0.417177914,0.31292517,0.022539566,0.469879518,0.150684932,0.4,0.75,0.25,0.524390244,0.511111111,0.121923032,0.548122446,0,0,0.529411765,33.9424658,-117.2296717,151,4.11,1
160,Athens,GA,30606,South,0.172413793,0.288343558,0.136054422,0.012205541,0.638554217,0.534246575,0.6,0.842105263,0.157894737,0.341463415,0.666666667,0.055818791,0.084635839,0.705882353,0.941176471,0.411764706,33.9519347,-83.357567,84,3.99,0
161,Marietta,GA,30062,South,0.264367816,0.245398773,0.142857143,0.02906275,0.397590361,0.438356164,0.4,0.710526316,0.289473684,0.609756098,0.533333333,0.112677684,0.087359751,0.235294118,0.176470588,0.235294118,33.952602,-84.5499327,151,4.14,0
162,South Gate,CA,90280,West,0.586206897,1,0.142857143,0.175013901,0.710843373,0.02739726,0.4,0.552631579,0.447368421,0.280487805,0.533333333,0.169074309,0.407484273,0,0,0.470588235,33.954737,-118.2120161,175,4.36,1
163,Lawrenceville,GA,30043,South,0.206896552,0.306748466,0.142857143,0.03262948,0.421686747,0.219178082,0.2,0.763157895,0.236842105,0.585365854,0.555555556,0.074309488,0.087359751,0.294117647,0,0.529411765,33.9562149,-83.9879625,135,3.99,0
164,Inglewood,CA,90301,West,0.620689655,1,0.285714286,0.174824037,0.710843373,0.178082192,0.4,0.552631579,0.447368421,0.280487805,0.644444444,0.20836704,0.407484273,0,0,0.529411765,33.9616801,-118.3531311,149,4.27,1
165,Bell Gardens,CA,90201,West,0.609195402,1,0.31292517,0.231118706,0.710843373,0,0.4,0.552631579,0.447368421,0.280487805,0.555555556,0.193112215,0.407484273,0,0,0.705882353,33.9652918,-118.1514588,184,4.36,1
166,Whittier,CA,90605,West,0.551724138,1,0.156462585,0.08021753,0.710843373,0.287671233,0.4,0.552631579,0.447368421,0.280487805,0.488888889,0.212989715,0.407484273,0,0,0.529411765,33.9791793,-118.032844,176,4.33,1
167,Riverside,CA,92503,West,0.332183908,0.220858896,0.156462585,0.037810055,0.469879518,0.260273973,0.4,0.75,0.25,0.524390244,0.511111111,0.150583613,0.288734678,0,0,0.470588235,33.9806005,-117.3754942,150,4.23,0
168,Lexington,SC,29072,South,0.137931034,0.239263804,0.081632653,0.00800141,0.240963855,0.506849315,0.4,0.657894737,0.342105263,0.756097561,0.377777778,0.060441465,0.083954861,0.470588235,0.529411765,0.470588235,33.9815369,-81.2362107,102,4.1,0
169,Columbia,SC,29223,South,0.287356322,0.239263804,0.074829932,0.014931446,0.674698795,0.506849315,0.2,0.763157895,0.236842105,0.329268293,0.8,0.056281059,0.12286789,0.411764706,1,0,34.0007104,-81.0348144,108,4.01,0
170,Duluth,GA,30096,South,0.183908046,0.306748466,0.129251701,0.03088002,0.421686747,0.520547945,0.2,0.763157895,0.236842105,0.585365854,0.355555556,0.108609731,0.087359751,0.294117647,0.176470588,0.647058824,34.0028786,-84.1446376,154,4.15,0
171,Santa Monica,CA,90405,West,0.781609195,1,0.292517007,0.139712763,0.710843373,0.821917808,0.4,0.552631579,0.447368421,0.280487805,0.688888889,0.626719057,0.475063234,0,0.470588235,0.411764706,34.0194543,-118.4911912,164,4.31,1
172,La Puente,CA,91744,West,0.494252874,1,0.19047619,0.108873429,0.710843373,0.082191781,0.4,0.552631579,0.447368421,0.280487805,0.466666667,0.176932856,0.407484273,0,0,0.764705882,34.0200114,-117.9495083,164,4.33,1
173,Roswell,GA,30075,South,0.126436782,0.306748466,0.102040816,0.028221924,0.65060241,0.712328767,0.2,0.539473684,0.460526316,0.353658537,0.288888889,0.148272276,0.166547766,0.294117647,0.176470588,0.705882353,34.0232431,-84.3615555,155,4.23,0
174,Kennesaw,GA,30144,South,0.16091954,0.245398773,0.197278912,0.028574528,0.397590361,0.438356164,0.4,0.710526316,0.289473684,0.609756098,0.422222222,0.083554836,0.087359751,0.294117647,0,0.764705882,34.0234337,-84.6154897,143,4.12,0
175,Los Angeles,CA,90011,West,0.61954023,1,0.231292517,0.149504319,0.710843373,0.369863014,0.4,0.552631579,0.447368421,0.280487805,0.6,0.273200046,0.407484273,0,0,0.647058824,34.0522342,-118.2436849,149,4.36,1
176,Pomona,CA,91766,West,0.436781609,1,0.183673469,0.085343857,0.710843373,0.150684932,0.4,0.552631579,0.447368421,0.280487805,0.555555556,0.164451635,0.407484273,0,0.176470588,0.470588235,34.055103,-117.7499909,143,4.3,1
177,Ontario,CA,91761,West,0.356321839,0.239263804,0.272108844,0.044319677,0.506024096,0.123287671,0.4,0.763157895,0.236842105,0.487804878,0.4,0.153588351,0.267559505,0,0,0.529411765,34.0633443,-117.6508876,138,4.3,0
178,El Monte,CA,91732,West,0.528735632,1,0.197278912,0.146127453,0.710843373,0.095890411,0.4,0.552631579,0.447368421,0.280487805,0.4,0.199121692,0.407484273,0,0,0.705882353,34.0686206,-118.0275667,164,4.31,1
179,West Covina,CA,91790,West,0.356321839,1,0.197278912,0.090049771,0.710843373,0.260273973,0.4,0.552631579,0.447368421,0.280487805,0.466666667,0.204900035,0.407484273,0,0,0.470588235,34.0686208,-117.9389526,160,4.29,1
180,Alpharetta,GA,30022,South,0.114942529,0.306748466,0.163265306,0.020776544,0.65060241,0.808219178,0.2,0.539473684,0.460526316,0.353658537,0.155555556,0.159366694,0.085316817,0.294117647,0.470588235,0.705882353,34.0753762,-84.2940899,147,4.19,0
181,Fontana,CA,92335,West,0.252873563,0.233128834,0.231292517,0.053338216,0.506024096,0.136986301,0.4,0.763157895,0.236842105,0.487804878,0.4,0.146885473,0.244373825,1,0,0.705882353,34.0922335,-117.435048,147,4.25,0
182,Rancho Cucamonga,CA,91730,West,0.310344828,0.239263804,0.136054422,0.03745745,0.506024096,0.369863014,0.4,0.763157895,0.236842105,0.487804878,0.377777778,0.206055703,0.264835592,0,0,0.705882353,34.1063989,-117.5931084,124,4.28,0
183,Rialto,CA,92376,West,0.252873563,0.208588957,0.224489796,0.057772896,0.506024096,0.04109589,0.4,0.763157895,0.236842105,0.487804878,0.466666667,0.127470242,0.244373825,0,0,0.529411765,34.1064001,-117.3703235,156,4.2,0
184,San Bernardino,CA,92404,West,0.332183908,0.26993865,0.292517007,0.02652671,0.506024096,0.082191781,0.4,0.763157895,0.236842105,0.487804878,0.622222222,0.094880388,0.441630456,0,0.176470588,0.176470588,34.1083449,-117.2897652,135,4.12,1
185,Glendale,CA,91205,West,0.643678161,1,0.170068027,0.091256764,0.710843373,0.438356164,0.4,0.552631579,0.447368421,0.280487805,0.288888889,0.319773489,0.407484273,0,0.294117647,0.764705882,34.1425078,-118.255075,142,4.39,1
186,Pasadena,CA,91104,West,0.597701149,1,0.156462585,0.081614386,0.710843373,0.671232877,0.4,0.552631579,0.447368421,0.280487805,0.555555556,0.314688547,0.407484273,0,0.294117647,0.529411765,34.1477849,-118.1445155,157,4.36,1
187,Thousand Oaks,CA,91360,West,0.252873563,0.834355828,0.333333333,0.030920705,0.506024096,0.589041096,0.4,0.723684211,0.276315789,0.487804878,0.244444444,0.307754536,0.475063234,0.647058824,0.411764706,0.882352941,34.1705609,-118.8375937,121,4.22,1
188,Burbank,CA,91505,West,0.643678161,1,0.129251701,0.081519454,0.710843373,0.465753425,0.4,0.552631579,0.447368421,0.280487805,0.355555556,0.315150815,0.407484273,0,0.235294118,0.647058824,34.1808392,-118.3089661,153,4.36,1
189,Florence,SC,29501,South,0.206896552,0.226993865,0.074829932,0.004936463,0.469879518,0.369863014,0.2,0.736842105,0.263157895,0.536585366,0.511111111,0.053969721,0.090083663,0,0.882352941,0,34.1954331,-79.7625625,86,4.04,0
190,Oxnard,CA,93033,West,0.471264368,0.895705521,0.319727891,0.045160503,0.506024096,0.150684932,0.4,0.723684211,0.276315789,0.487804878,0.444444444,0.187565006,0.068259939,0.647058824,0.470588235,0.647058824,34.1975048,-119.1770516,95,4.1,0
191,Wilmington,NC,28403,South,0.252873563,0.429447853,0.06122449,0.01662666,0.445783133,0.493150685,0.2,0.697368421,0.302631579,0.56097561,0.6,0.078932162,0.14880991,1,0.941176471,0.176470588,34.2103894,-77.8868117,85,4.1,0
192,Simi Valley,CA,93065,West,0.310344828,0.834355828,0.299319728,0.026404654,0.506024096,0.397260274,0.4,0.736842105,0.263157895,0.487804878,0.311111111,0.229169074,0.548122446,0,0,0.882352941,34.2694474,-118.781482,134,4.17,1
193,Ventura,CA,93003,West,0.471264368,0.895705521,0.258503401,0.00633332,0.506024096,0.328767123,0.4,0.723684211,0.276315789,0.487804878,0.288888889,0.24299087,0.475063234,0.647058824,0.529411765,0.411764706,34.2804923,-119.2945199,93,4.24,1
194,Gainesville,GA,30506,South,0.24137931,0.306748466,0.12244898,0.007567436,0.13253012,0.219178082,0.2,0.697368421,0.302631579,0.87804878,0.555555556,0.078932162,0.131039626,0,0.470588235,0.294117647,34.2978794,-83.8240663,94,4.04,0
195,Santa Clarita,CA,91350,West,0.264367816,1,0.156462585,0.004271939,0.710843373,0.383561644,0.4,0.552631579,0.447368421,0.280487805,0.333333333,0.20836704,0.475063234,0.764705882,0,0.882352941,34.3916641,-118.542586,153,4.23,1
196,Santa Barbara,CA,93101,West,0.563218391,0.809815951,0.176870748,0.011866499,0.56626506,0.506849315,0.6,0.578947368,0.421052632,0.414634146,0.466666667,0.460302785,0.475063234,0.647058824,1,0.470588235,34.4208305,-119.6981901,88,4.31,1
197,Hesperia,CA,92345,West,0.034482759,0.239263804,0.149659864,0.010957864,0.506024096,0.068493151,0.4,0.763157895,0.236842105,0.487804878,0.488888889,0.097885127,0.237531617,0,0,0.529411765,34.4263886,-117.3008784,81,4.18,0
198,Anderson,SC,29621,South,0.24137931,0.251533742,0.115646259,0.005723043,0.253012048,0.219178082,0.4,0.565789474,0.434210526,0.743902439,0.644444444,0.057898995,0.070983851,0.411764706,0.882352941,0,34.5034394,-82.6501332,86,4.18,0
199,Victorville,CA,92392,West,0.08045977,0.233128834,0.210884354,0.021427506,0.506024096,0.095890411,0.4,0.763157895,0.236842105,0.487804878,0.466666667,0.086790708,0.223879629,0,0,0.411764706,34.5362184,-117.2927641,84,4.17,0
200,Palmdale,CA,93550,West,0.126436782,1,0.31292517,0.005573864,0.710843373,0.123287671,0.4,0.552631579,0.447368421,0.280487805,0.488888889,0.116606957,0.407484273,0,0,0.647058824,34.5794343,-118.1164613,82,4.11,1
201,Lawton,OK,73505,South,0.24137931,0.171779141,0.068027211,0.003132756,0.385542169,0.178082192,0,0.565789474,0.434210526,0.646341463,0.466666667,0.025309141,0.103054673,0.764705882,1,0,34.6035669,-98.3959291,89,3.84,0
202,Lancaster,CA,93535,West,0.172413793,1,0.285714286,0.004543174,0.710843373,0.123287671,0.4,0.552631579,0.447368421,0.280487805,0.511111111,0.097885127,0.407484273,0,0,0.647058824,34.6867846,-118.1541632,84,4.1,1
203,Huntsville,AL,35810,South,0.137931034,0.214723926,0.142857143,0.009561007,0.361445783,0.493150685,0.2,0.592105263,0.407894737,0.646341463,0.511111111,0.055818791,0.109215902,0.529411765,0.882352941,0,34.7303688,-86.5861037,93,4.04,0
204,Little Rock,AR,72204,South,0.24137931,0.196319018,0.095238095,0.009615254,0.542168675,0.465753425,0.4,0.539473684,0.460526316,0.451219512,0.644444444,0.061712701,0.135157922,0.176470588,0.882352941,0,34.7464809,-92.2895948,106,3.9,0
205,Greenville,SC,29615,South,0.356321839,0.220858896,0.115646259,0.018118448,0.301204819,0.520547945,0.4,0.565789474,0.434210526,0.695121951,0.688888889,0.078932162,0.1358389,0.411764706,0.941176471,0,34.8526176,-82.3940104,109,4.1,0
206,Rock Hill,SC,29732,South,0.206896552,0.220858896,0.074829932,0.008204836,0.34939759,0.287671233,0.4,0.657894737,0.342105263,0.658536585,0.577777778,0.06506414,0.163142876,0.294117647,0.411764706,0.294117647,34.9248667,-81.0250784,100,3.98,0
207,Spartanburg,SC,29301,South,0.206896552,0.27607362,0.108843537,0.008204836,0.337349398,0.315068493,0.2,0.539473684,0.460526316,0.670731707,0.711111111,0.043453138,0.053245995,0.411764706,0.882352941,0,34.9495672,-81.9320482,88,3.99,0
208,Santa Maria,CA,93458,West,0.436781609,0.668711656,0.231292517,0.002983577,0.56626506,0.095890411,0.6,0.578947368,0.421052632,0.414634146,0.466666667,0.150583613,0.475063234,0.647058824,0.705882353,0.470588235,34.9530337,-120.4357191,93,4.19,1
209,Chattanooga,TN,37421,South,0.195402299,0.239263804,0.734693878,0.012558146,0.373493976,0.287671233,0.6,0.552631579,0.447368421,0.609756098,0.644444444,0.049809315,0.115344705,0.294117647,0.764705882,0,35.0456297,-85.3096801,99,4.11,0
210,Fayetteville,NC,28314,South,0.091954023,0.220858896,0.074829932,0.009140594,0.602409639,0.246575342,0.2,0.855263158,0.144736842,0.414634146,0.444444444,0.041950769,0.081911927,0.647058824,0.705882353,0,35.0526641,-78.8783585,88,3.89,0
211,Albuquerque,NM,87121,West,0.340229885,0.153374233,0.163265306,0.014931446,0.554216867,0.397260274,1,0.592105263,0.407894737,0.402439024,0.488888889,0.071535884,0.103054673,1,0.705882353,0,35.0843859,-106.650422,105,4.12,0
212,Memphis,TN,38109,South,0.264367816,0.208588957,0.088435374,0.025604513,0.638554217,0.260273973,0.2,0.776315789,0.223684211,0.37804878,0.711111111,0.044215879,0.058693819,0.411764706,0.529411765,0,35.1495343,-90.0489801,134,4,0
213,Cleveland,TN,37312,South,0.183908046,0.220858896,0.115646259,0.004936463,0.144578313,0.273972603,0.2,0.565789474,0.434210526,0.853658537,0.488888889,0.049809315,0.075750697,0.294117647,0.941176471,0,35.1595182,-84.8766115,76,4.13,0
214,Amarillo,TX,79109,South,0.298850575,0.098159509,0.217687075,0.004651667,0.204819277,0.232876712,0.2,0.184210526,0.815789474,0.804878049,0.4,0.042875303,0.068940917,1,0.882352941,0.235294118,35.2219971,-101.8312969,75,4.07,0
215,Norman,OK,73072,South,0.206896552,0.208588957,0.156462585,0.007486065,0.325301205,0.520547945,0,0.736842105,0.263157895,0.695121951,0.622222222,0.06506414,0.038199624,0.705882353,0.529411765,0.647058824,35.2225668,-97.4394777,123,3.89,0
216,Charlotte,NC,28269,South,0.165517241,0.245398773,0.115646259,0.026418216,0.614457831,0.479452055,0.2,0.684210526,0.315789474,0.390243902,0.511111111,0.088177511,0.127634736,0.294117647,0.411764706,0.294117647,35.2270869,-80.8431267,128,4.11,0
217,Gastonia,NC,28054,South,0.137931034,0.233128834,0.095238095,0.012449652,0.325301205,0.232876712,0.2,0.565789474,0.434210526,0.682926829,0.4,0.058130128,0.127634736,0.294117647,0.235294118,0,35.262082,-81.1873005,108,3.96,0
218,Bakersfield,CA,93307,West,0.279310345,0.36196319,0.054421769,0.007160584,0.337349398,0.219178082,0.6,0.736842105,0.263157895,0.646341463,0.422222222,0.088177511,0.195894675,0,0.411764706,0.235294118,35.3732921,-119.0187125,92,4.04,0
219,Fort Smith,AR,72903,South,0.264367816,0.257668712,0.183673469,0.014795828,0.240963855,0.178082192,0.6,0.407894737,0.592105263,0.743902439,0.4,0.037328094,0.02594202,0.647058824,1,0,35.3859242,-94.3985475,91,4.25,0
220,Concord,NC,28027,South,0.08045977,0.245398773,0.06122449,0.0077573,0.34939759,0.328767123,0.2,0.631578947,0.368421053,0.658536585,0.266666667,0.077083093,0.127634736,0.294117647,0.235294118,0.529411765,35.4087517,-80.579511,102,3.98,0
221,Oklahoma City,OK,73160,South,0.248275862,0.208588957,0.142857143,0.021834357,0.385542169,0.328767123,0,0.447368421,0.552631579,0.634146341,0.422222222,0.063912169,0.066897983,0.647058824,0.705882353,0,35.4675602,-97.5164276,120,4.13,0
222,Asheville,NC,28806,South,0.287356322,0.251533742,0.129251701,0.01196143,0.554216867,0.547945205,0.2,0.592105263,0.407894737,0.451219512,0.644444444,0.123772102,0.154257734,0.941176471,0.705882353,0.647058824,35.5950581,-82.5514869,91,4.16,0
223,Greenville,NC,27858,South,0.24137931,0.288343558,0.299319728,0.005994277,0.518072289,0.397260274,0.2,0.894736842,0.105263158,0.487804878,0.755555556,0.043799838,0.1358389,0.882352941,0.941176471,0.235294118,35.612661,-77.3663538,82,4.19,0
224,Edmond,OK,73013,South,0.172413793,0.208588957,0.204081633,0.010496766,0.385542169,0.616438356,0,0.447368421,0.552631579,0.634146341,0.288888889,0.092800185,0.125591802,0.705882353,0.705882353,0.705882353,35.6528323,-97.4780954,116,4.05,0
225,Santa Fe,NM,87507,West,0.298850575,0.165644172,0.244897959,0.002658096,0.771084337,0.520547945,0.8,0.671052632,0.328947368,0.195121951,0.6,0.159366694,0.14880991,1,0.941176471,0.294117647,35.6869752,-105.937799,79,4.08,1
226,Raleigh,NC,27610,South,0.216091954,0.233128834,0.136054422,0.022322579,0.542168675,0.575342466,0.2,0.736842105,0.263157895,0.463414634,0.511111111,0.094186987,0.106459563,0.235294118,0.705882353,0.470588235,35.7795897,-78.6381787,132,4.14,0
227,Cary,NC,27513,South,0.172413793,0.226993865,0.170068027,0.030052755,0.542168675,0.780821918,0.2,0.736842105,0.263157895,0.463414634,0.111111111,0.144190454,0.121505934,0.235294118,0.529411765,0.882352941,35.79154,-78.7811169,126,4.15,0
228,Murfreesboro,TN,37130,South,0.149425287,0.214723926,0.142857143,0.008855798,0.325301205,0.424657534,0.4,0.815789474,0.184210526,0.682926829,0.511111111,0.09002658,0.112620793,0.235294118,0,0.411764706,35.8456213,-86.39027,88,4.01,0
229,Chapel Hill,NC,27516,South,0.275862069,0.226993865,0.102040816,0.007608121,0.722891566,0.97260274,0.2,0.921052632,0.078947368,0.268292683,0.688888889,0.166300705,0.093488553,0.411764706,0.764705882,0.705882353,35.9131996,-79.0558445,107,4.08,0
230,Franklin,TN,37064,South,0.137931034,0.18404908,0.142857143,0.004746599,0.192771084,0.753424658,0.2,0.592105263,0.407894737,0.817073171,0.155555556,0.196764128,0.122186912,0.235294118,0.176470588,0.764705882,35.9250637,-86.8688899,132,4.03,0
231,High Point,NC,27265,South,0.16091954,0.312883436,0.068027211,0.014565279,0.578313253,0.315068493,0.2,0.697368421,0.302631579,0.426829268,0.422222222,0.060366578,0.225241585,0.529411765,0.470588235,0.235294118,35.9556923,-80.0053176,121,4.06,0
232,Knoxville,TN,37918,South,0.183908046,0.251533742,0.12244898,0.013507466,0.289156627,0.342465753,0.4,0.5,0.5,0.707317073,0.644444444,0.070033514,0.068259939,0.294117647,0.705882353,0,35.9606384,-83.9207392,117,4.08,0
233,Durham,NC,27713,South,0.208045977,0.226993865,0.06122449,0.014795828,0.795180723,0.589041096,0.2,0.802631579,0.197368421,0.207317073,0.533333333,0.090719982,0.093488553,0.411764706,0.529411765,0.411764706,35.9940329,-78.898619,122,4,0
234,Henderson,NV,89052,West,0.202298851,0.239263804,0.231292517,0.020464624,0.554216867,0.342465753,0.4,0.842105263,0.157894737,0.43902439,0.4,0.108979545,0.208184707,0.647058824,0.470588235,0.705882353,36.0395247,-114.9817213,134,4.17,0
