,lat,lon,pizzaPlaceTotal,pizzaRatingAvg
0,33.7205771,-116.31556189999999,74,4.12
1,34.4263886,-117.4008784,81,4.18
2,25.468722399999997,-80.57755689999999,101,3.99
3,33.7825194,-117.32864779999998,147,4.04
4,34.5362184,-117.39276409999998,84,4.17
5,41.1792258,-73.28943840000001,128,4.28
6,33.9424658,-117.32967169999999,151,4.11
7,40.844781899999994,-73.96482679999998,170,4.35
8,33.7514966,-84.84771359999999,104,3.74
9,30.079940500000003,-95.5171601,142,4.01
10,36.961335600000005,-120.1607176,54,4.09
11,30.311876899999998,-95.5560512,104,3.98
12,33.553914299999995,-117.3139232,99,4.12
13,37.3021632,-120.58296770000001,69,4.11
14,28.291955699999995,-81.50757099999997,145,4.12
15,33.4936391,-117.2483648,90,4.17
16,33.7475203,-117.0719684,92,4.07
17,36.330228399999996,-119.39205849999999,88,4.19
18,34.1064001,-117.4703235,156,4.2
19,34.5794343,-118.21646129999998,82,4.11
20,34.0633443,-117.75088759999998,138,4.3
21,37.639259499999994,-121.0970014,101,4.18
22,34.1083449,-117.3897652,135,4.12
23,33.538652299999995,-112.28598659999999,148,4.28
24,37.9577016,-121.39077959999997,110,4.12
25,33.9806005,-117.4754942,150,4.23
26,36.737798100000006,-119.88712469999999,111,4.15
27,29.5821811,-95.8607832,123,4.15
28,33.9562149,-84.08796249999999,135,3.99
29,38.750948799999996,-77.57526669999997,145,3.98
30,33.62923370000001,-112.4679279,139,4.18
31,27.446705600000005,-80.4256056,115,4.18
32,39.3995008,-84.66133549999999,131,4.09
33,35.262082,-81.28730049999997,108,3.96
34,35.4087517,-80.67951099999999,102,3.98
35,25.9860762,-80.40356019999997,163,4.23
36,33.2098407,-87.66917349999997,93,4.01
37,42.3636331,-87.94479379999997,135,4.08
38,35.955692299999995,-80.10531759999999,121,4.06
39,31.117119399999996,-97.8277959,81,3.99
40,43.012527399999996,-83.7874562,103,3.93
41,26.5628537,-82.04953309999998,117,4.15
42,42.5144566,-83.11465259999997,159,4.18
43,34.10639889999999,-117.6931084,124,4.28
44,27.273049199999996,-80.45822609999999,102,4.25
45,41.7605849,-88.42007150000002,149,4.19
46,32.298757300000005,-90.28481029999999,96,3.98
47,32.4609764,-85.0877094,78,4.01
48,41.081444700000006,-81.61900529999997,127,4.17
49,27.5035613,-99.6075519,80,4.04
50,40.735657,-74.27236669999999,195,4.35
51,38.252664700000004,-85.8584557,114,4.15
52,42.331427000000005,-83.1457538,142,4.17
53,39.9525839,-75.2652215,121,4.3
54,40.6781784,-74.0441579,126,4.35
55,43.234181299999996,-86.34839209999997,102,4.22
56,38.789217,-90.422614,156,4.02
57,39.0067768,-76.87913649999997,183,4.04
58,41.6819935,-86.0766671,116,4.01
59,43.419469899999996,-84.05080679999999,86,4.09
60,26.2159066,-98.4252932,100,4.04
61,26.3017374,-98.2633432,97,4.1
62,26.640628000000003,-81.9723084,117,4.05
63,42.8142432,-74.0395687,133,4.02
64,38.4087993,-121.4716178,126,4.14
65,41.0997803,-80.7495194,112,4.17
66,31.578507399999996,-84.25574099999997,79,3.95
67,46.6020711,-120.6058987,81,4.18
68,36.8252277,-119.80291940000001,106,4.18
69,29.735504700000003,-95.07742739999999,129,3.95
70,29.6185669,-95.6377215,162,4.13
71,40.79894729999999,-81.47844699999999,119,4.12
72,28.034462100000006,-80.6886646,91,4.17
73,40.5865396,-122.49167539999999,108,4.29
74,34.6035669,-98.4959291,89,3.84
75,32.8771106,-80.1130514,123,4.0
76,39.9537358,-74.2979458,118,4.28
77,35.8456213,-86.49027,88,4.01
78,32.8406946,-83.7324022,83,3.98
79,42.083433500000005,-71.1183787,163,4.24
80,34.0686208,-118.03895259999997,160,4.29
81,41.558152500000006,-73.1514965,133,4.32
82,34.6867846,-118.2541632,84,4.1
83,36.5297706,-87.4594528,89,3.95
84,35.0526641,-78.97835849999997,88,3.89
85,42.5803122,-83.13020329999999,150,4.18
86,41.525031,-88.1817251,136,4.13
87,26.007765,-80.3962555,154,4.24
88,26.0112014,-80.24949009999999,160,4.27
89,39.758947799999994,-84.29160689999999,115,4.2
90,36.1988592,-115.2175013,148,4.16
91,25.9017472,-97.59748379999999,84,4.01
92,29.6910625,-95.3091006,158,4.09
93,33.8752935,-117.6664384,151,4.23
94,33.4734978,-82.11051479999999,82,3.98
95,35.96063839999999,-84.0207392,117,4.08
96,32.3792233,-86.4077368,75,3.94
97,36.09985959999999,-80.344216,104,4.06
98,33.5185892,-86.9103567,116,3.96
99,39.103118200000004,-84.6120196,137,4.16
100,41.499320000000004,-81.7943605,143,4.07
101,35.1495343,-90.14898009999999,134,4.0
102,33.9412127,-84.31353089999999,160,4.17
103,41.632222999999996,-88.31203149999999,144,4.09
104,39.0992752,-76.9483061,160,4.0
105,38.303183700000005,-77.56053990000001,92,3.96
106,34.023433700000005,-84.71548969999999,143,4.12
107,34.0028786,-84.24463759999999,154,4.15
108,28.0222435,-81.8328567,122,4.01
109,34.2978794,-83.92406629999999,94,4.04
110,42.245869,-84.50134619999997,84,4.09
111,33.0185039,-80.27564809999997,102,4.06
112,26.6167555,-80.1684479,118,4.23
113,40.08212899999999,-74.30970140000001,138,4.3
114,39.641762899999996,-77.81999319999997,96,4.26
115,35.1595182,-84.97661149999999,76,4.13
116,34.0200114,-118.04950829999999,164,4.33
117,39.9625984,-76.827745,99,4.15
118,40.758390000000006,-82.61544709999998,86,4.25
119,29.5635666,-95.3860474,166,4.09
120,30.8327022,-83.37848509999999,84,4.05
121,29.187198600000002,-82.24009229999997,94,4.16
122,39.41426879999999,-77.51054090000001,100,4.05
123,39.9242266,-83.9088171,86,4.1
124,37.739581799999996,-121.52600179999999,93,4.09
125,26.531786600000004,-80.1905465,138,4.26
126,34.9248667,-81.1250784,100,3.98
127,33.95260200000001,-84.6499327,151,4.14
128,43.5788175,-116.65978,101,4.11
129,37.4137536,-79.24224639999997,80,4.06
130,41.408969,-75.76241219999997,97,4.35
131,38.2975381,-122.38686499999999,94,4.07
132,40.6259316,-75.47045789999997,124,4.3
133,42.291706899999994,-85.6872286,90,3.93
134,39.5349112,-119.8526886,83,4.0
135,36.060949,-95.8974526,113,4.08
136,26.2378597,-80.22476669999999,138,4.32
137,40.335648299999995,-76.0268747,101,4.19
138,41.223,-112.07383039999999,89,4.05
139,42.586888200000004,-83.0195514,143,4.16
140,45.5098502,-122.5347608,149,4.13
141,38.2491956,-122.14051509999997,105,3.98
142,33.954737,-118.31201609999998,175,4.36
143,39.8680412,-105.07192429999999,137,4.14
144,31.8456816,-102.46764309999999,77,3.8
145,33.9022367,-118.18173300000001,169,4.34
146,42.035408399999994,-88.38256679999999,147,4.19
147,40.6022939,-75.5714098,113,4.3
148,42.732535,-84.6555347,83,4.07
149,34.0686206,-118.1275667,164,4.31
150,40.6639916,-74.31070059999999,190,4.36
151,39.0911161,-94.5155068,148,4.04
152,37.9715592,-87.67108979999999,89,4.23
153,41.76580429999999,-72.77337229999999,112,4.27
154,26.271192,-80.3706044,158,4.23
155,32.76679550000001,-96.69915929999999,163,3.99
156,26.203407100000003,-98.3300124,105,4.09
157,33.5805955,-112.3373779,140,4.2
158,37.0298687,-76.44522179999997,132,4.01
159,32.7459645,-97.0977846,167,4.16
160,33.1192068,-117.186421,146,4.22
161,34.0922335,-117.53504799999999,147,4.25
162,42.1014831,-72.68981099999999,105,4.22
163,32.6400541,-117.1841955,146,4.3
164,30.6953657,-88.1398912,96,4.0
165,32.912624,-96.7388833,169,4.16
166,30.451467699999995,-91.2871466,101,3.74
167,25.8575963,-80.37810569999999,155,4.28
168,27.800582799999997,-97.496381,79,3.84
169,41.6528052,-83.6378674,114,4.02
170,39.729431899999994,-104.93191949999999,144,4.1
171,25.7616798,-80.2917902,127,4.28
172,36.1539816,-96.09277499999999,124,3.98
173,38.5815719,-121.5943996,130,4.21
174,33.4151843,-111.9314724,152,4.24
175,35.4675602,-97.6164276,120,4.13
176,31.7618778,-106.58502169999998,126,4.19
177,39.2903848,-76.71218929999999,134,4.1
178,36.1626638,-86.88160159999998,106,4.07
179,32.7554883,-97.43076579999999,137,4.21
180,35.2270869,-80.9431267,128,4.11
181,30.3321838,-81.75565099999997,136,3.98
182,39.768403,-86.258068,147,4.1
183,29.7604267,-95.46980279999998,133,4.23
184,40.7127753,-74.10597279999999,129,4.36
185,38.955944200000005,-77.0455301,151,4.14
186,42.2411499,-83.71299389999997,121,4.14
187,34.5034394,-82.7501332,86,4.18
188,34.1954331,-79.8625625,86,4.04
189,30.158812899999997,-85.7602058,104,3.98
190,34.949567200000004,-82.0320482,88,3.99
191,40.273191100000005,-76.98670079999998,104,4.16
192,42.32115220000001,-85.27971419999997,76,4.19
193,36.9685219,-86.58080429999998,87,4.13
194,35.9250637,-86.96888990000001,132,4.03
195,39.4667034,-87.51390919999997,97,4.23
196,40.4167022,-86.97528689999997,81,4.01
197,39.728494399999995,-121.93747769999999,91,4.22
198,43.0116784,-88.3314813,140,4.04
199,29.2108147,-81.12283309999998,95,4.01
200,32.5007037,-94.8404891,98,4.1
201,28.0836269,-80.70810889999997,100,4.2
202,42.7261309,-87.88285230000001,99,3.97
203,47.380933500000005,-122.3348432,145,4.14
204,42.3222599,-83.27631449999997,159,4.16
205,31.4637723,-100.5370375,106,4.23
206,26.7153424,-80.15337459999999,128,4.21
207,33.75917570000001,-118.08970579999999,169,4.37
208,42.36837,-83.45270969999997,148,4.14
209,28.039465399999997,-82.0498042,91,4.01
210,41.6362152,-71.03420499999997,104,4.15
211,33.8958492,-118.3200712,174,4.36
212,36.835425799999996,-76.3982742,132,4.03
213,29.5984434,-95.72255209999999,163,4.07
214,42.5847425,-87.92118539999997,114,3.96
215,33.913708500000006,-98.5933873,87,4.09
216,40.5187154,-74.5120953,150,4.31
217,41.5236437,-90.67763670000001,79,4.13
218,39.802764399999994,-105.18748419999999,147,4.16
219,42.633424700000006,-71.41617179999997,155,4.15
220,40.42331420000001,-104.8091322,80,4.12
221,41.676354499999995,-86.35198979999997,105,4.1
222,44.51331879999999,-88.11329579999999,76,4.02
223,33.9616801,-118.4531311,149,4.27
224,34.2694474,-118.881482,134,4.17
225,41.0534302,-73.63873409999998,147,4.33
226,38.1040864,-122.35663670000001,122,4.1
227,33.3528264,-111.889027,132,4.21
228,32.0808989,-81.191203,106,3.85
229,40.916765399999996,-74.27181099999997,185,4.3
230,34.055103,-117.8499909,143,4.3
231,42.2711311,-89.1939952,109,4.09
232,26.122438600000002,-80.23731740000001,150,4.27
233,33.1958696,-117.47948339999999,123,4.08
234,33.774269200000006,-118.0379952,164,4.36
235,42.262593200000005,-71.90229339999999,96,4.2
236,32.5251516,-93.8501789,75,4.08
237,40.9312099,-73.99874689999997,184,4.34
238,41.079273,-85.23935129999998,91,4.03
239,39.529632899999996,-119.91380269999999,84,4.0
240,33.5778631,-101.9551665,74,4.02
241,35.99403289999999,-78.99861899999999,122,4.0
242,36.8507689,-76.38587259999997,133,4.05
243,36.072635399999996,-79.8919754,106,3.94
244,35.3732921,-119.1187125,92,4.04
245,33.8365932,-118.0143012,161,4.33
246,38.6270025,-90.2994042,140,4.11
247,33.7454725,-117.967653,139,4.35
248,41.2565369,-96.0345034,113,3.99
249,33.770050399999995,-118.2937395,153,4.33
250,32.2226066,-111.07471079999999,105,4.22
251,43.0389025,-88.00647359999999,106,4.03
252,36.169941200000004,-115.23982959999998,119,4.25
253,39.9611755,-83.09879419999997,146,4.22
254,29.4241219,-98.5936282,150,4.08
255,33.4483771,-112.17403729999998,156,4.27
256,41.8781136,-87.7297982,112,4.32
257,33.9815369,-81.3362107,102,4.1
258,29.99883119999999,-95.3621553,148,3.87
259,40.557598600000006,-74.38460219999999,167,4.31
260,28.244176799999998,-82.81926709999999,124,4.18
261,33.689060299999994,-78.9866943,103,4.03
262,38.5950532,-90.6462339,155,4.12
263,47.1853785,-122.39289740000001,126,4.04
264,47.820930100000005,-122.41513139999999,145,4.22
265,47.30732279999999,-122.32845320000001,142,4.08
266,33.965291799999996,-118.2514588,184,4.36
267,47.4796927,-122.30792179999999,150,4.21
268,27.4989278,-82.67481939999999,119,4.13
269,40.0378755,-76.4055144,106,4.22
270,36.3134397,-82.4534727,94,4.18
271,40.1933767,-85.4863599,96,4.19
272,38.7881062,-90.5974359,146,4.11
273,44.0805434,-103.3310149,80,4.13
274,26.4614625,-80.17282009999998,136,4.26
275,35.612660999999996,-77.4663538,82,4.19
276,30.226594899999995,-93.31737579999998,110,4.01
277,35.385924200000005,-94.4985475,91,4.25
278,33.97917929999999,-118.13284399999999,176,4.33
279,33.9164032,-118.45257479999998,157,4.31
280,33.1983388,-96.7389342,146,4.01
281,40.2205824,-74.859717,151,4.3
282,42.25287720000001,-71.10227049999999,153,4.24
283,38.3565773,-122.0877444,75,4.03
284,38.9108408,-94.4821724,126,3.95
285,47.3223221,-122.4126222,140,4.1
286,32.6926512,-114.72769159999999,97,4.12
287,33.2000368,-117.3425355,129,4.23
288,32.351260100000005,-95.4010624,85,4.03
289,38.0049214,-121.90578899999998,116,4.03
290,34.0232431,-84.4615555,155,4.23
291,42.12922409999999,-80.185059,84,3.96
292,30.080174,-94.2265562,91,4.0
293,33.9401088,-118.23315929999998,172,4.36
294,38.8813958,-94.9191285,113,4.02
295,38.752123499999996,-121.38800590000001,133,4.24
296,35.222566799999996,-97.53947769999999,123,3.89
297,39.836652799999996,-105.13720459999998,134,4.18
298,42.995639700000005,-71.5547891,103,4.14
299,40.6936488,-89.6889864,95,4.18
300,32.4487364,-99.83314390000001,98,4.16
301,33.046233,-97.094174,154,4.23
302,30.2240897,-92.11984269999999,78,4.03
303,33.2148412,-97.2330683,110,4.13
304,31.549333,-97.2466695,88,4.01
305,39.0473451,-95.7751576,82,3.96
306,41.308274,-73.02788349999999,128,4.29
307,34.0007104,-81.1348144,108,4.01
308,34.3916641,-118.64258600000001,153,4.23
309,30.4382559,-84.38073289999997,78,4.04
310,41.8239891,-71.5128343,106,4.27
