,id,city,state,region,percentDemocrat,percentGraduates,percentIndependent,percentNonReligious,percentReligious,percentRepublican,percentSingle,avgHomePrice,avgCostOfLiving,gradeAirQuality,gradeLowTraffic,gradeSafety
55,56,Burbank,CA,West,0.69,0.39,0.02,0.42,0.58,0.29,0.49,706000,28817,1.0,2.0,3.75
56,57,Rochester,MN,Midwest,0.51,0.42,0.02,0.38,0.62,0.47,0.48,188000,21366,4.75,5.25,3.75
57,58,Mission Viejo,CA,West,0.45,0.5,0.02,0.55,0.45,0.53,0.41,650000,30901,1.0,2.0,4.75
58,59,Beaverton,OR,West,0.58,0.45,0.03,0.74,0.26,0.4,0.52,335000,27049,5.25,2.25,4.25
59,60,Duluth,MN,Midwest,0.64,0.35,0.02,0.47,0.53,0.34,0.61,148000,21050,5.25,5.25,1.75
60,61,Boca Raton,FL,South,0.58,0.51,0.01,0.44,0.56,0.41,0.52,320000,20208,4.75,5.0,3.75
61,62,Bellingham,WA,West,0.55,0.36,0.03,0.71,0.29,0.43,0.61,333751,23850,5.25,5.25,3.0
62,63,College Station,TX,South,0.31,0.57,0.02,0.49,0.51,0.67,0.67,211000,19156,3.0,5.0,3.75
63,64,Longmont,CO,West,0.7,0.37,0.02,0.53,0.47,0.28,0.48,364750,23155,4.25,4.0,3.75
64,65,Chapel Hill,NC,South,0.7,0.76,0.01,0.7,0.3,0.28,0.64,384000,19134,2.75,4.25,4.0
65,66,Decatur,GA,South,0.78,0.72,0.01,0.65,0.35,0.21,0.58,165000,19198,2.0,3.25,3.0
66,67,West Chester,PA,Northeast,0.49,0.45,0.01,0.44,0.56,0.5,0.76,393750,21282,1.75,4.25,3.75
67,68,San Jose,CA,West,0.7,0.38,0.03,0.57,0.43,0.28,0.48,792500,36459,4.25,2.0,3.25
68,69,Minneapolis,MN,Midwest,0.63,0.47,0.02,0.42,0.58,0.35,0.66,235000,22545,4.25,3.25,1.0
69,70,Honolulu,HI,West,0.69,0.31,0.01,0.67,0.33,0.3,0.5,500000,40079,5.25,2.75,3.0
70,71,Anchorage,AK,West,0.41,0.34,0.04,0.63,0.37,0.55,0.53,309000,27975,5.25,4.0,2.0
