,id,city,state,region,percentDemocrat,percentGraduates,percentIndependent,percentNonReligious,percentReligious,percentRepublican,percentSingle,avgHomePrice,avgCostOfLiving,gradeAirQuality,gradeLowTraffic,gradeSafety
221,222,Lynnwood,WA,West,0.57,0.29,0.02,0.76,0.24,0.41,0.56,395000,23576,5.0,1.0,1.0
222,223,Puyallup,WA,West,0.54,0.23,0.02,0.7,0.3,0.43,0.55,285100,22734,5.0,1.75,1.0
223,224,Ballwin,MO,Midwest,0.56,0.54,0.01,0.43,0.57,0.43,0.4,250000,19324,1.0,2.25,5.0
224,225,Myrtle Beach,SC,South,0.35,0.24,0.01,0.58,0.42,0.64,0.56,145000,19534,5.0,5.0,1.0
225,226,New Port Richey,FL,South,0.46,0.11,0.01,0.69,0.31,0.53,0.59,127000,19366,3.75,2.25,1.75
226,227,Woodbridge,NJ,Northeast,0.63,0.38,0.01,0.4,0.6,0.36,0.46,247000,25239,4.0,1.0,4.0
227,228,Humble,TX,South,0.49,0.18,0.01,0.5,0.5,0.49,0.61,192750,19577,1.75,3.0,1.0
228,229,Lexington,SC,South,0.3,0.42,0.02,0.5,0.5,0.68,0.5,155000,18840,3.0,3.25,3.0
229,230,Chicago,IL,Midwest,0.74,0.35,0.01,0.42,0.58,0.25,0.64,270000,24123,1.75,1.0,2.25
230,231,Phoenix,AZ,West,0.43,0.27,0.02,0.6,0.4,0.55,0.58,219250,19703,4.0,2.75,2.25
231,232,San Antonio,TX,South,0.52,0.24,0.01,0.35,0.65,0.47,0.56,189900,18419,2.25,3.0,1.0
232,233,Columbus,OH,Midwest,0.6,0.34,0.02,0.62,0.38,0.38,0.61,157950,18777,2.75,3.75,2.25
233,234,Las Vegas,NV,West,0.56,0.22,0.02,0.64,0.36,0.42,0.56,207000,22671,3.75,3.25,2.75
234,235,Milwaukee,WI,Midwest,0.67,0.22,0.01,0.53,0.48,0.32,0.67,120450,21134,4.0,3.25,1.0
235,236,Tucson,AZ,West,0.52,0.25,0.02,0.55,0.45,0.46,0.62,181000,19640,5.25,3.75,1.0
236,237,Long Beach,CA,West,0.69,0.29,0.02,0.42,0.58,0.29,0.61,500000,28817,1.0,1.0,3.25
237,238,Omaha,NE,Midwest,0.47,0.33,0.01,0.46,0.54,0.52,0.58,170000,19324,3.75,4.75,2.0
238,239,Santa Ana,CA,West,0.45,0.11,0.02,0.55,0.45,0.53,0.53,520000,30901,1.0,2.25,4.0
239,240,Saint Louis,MO,Midwest,0.83,0.3,0.01,0.43,0.57,0.16,0.69,113000,19324,1.0,3.0,1.0
240,241,Anaheim,CA,West,0.45,0.23,0.02,0.55,0.45,0.53,0.52,522000,30901,1.0,1.75,3.25
241,242,Bakersfield,CA,West,0.38,0.21,0.03,0.56,0.44,0.59,0.52,215000,22292,1.0,2.75,2.0
242,243,Greensboro,NC,South,0.58,0.35,0.01,0.53,0.47,0.41,0.59,149000,23197,3.25,4.25,2.25
243,244,Norfolk,VA,South,0.71,0.26,0.01,0.64,0.36,0.27,0.62,195000,20503,4.25,3.75,2.0
244,245,Durham,NC,South,0.76,0.48,0.01,0.61,0.39,0.23,0.57,220500,19134,2.75,3.25,2.75
245,246,Lubbock,TX,South,0.29,0.28,0.02,0.4,0.6,0.7,0.58,121000,18608,2.75,5.25,1.0
246,247,Reno,NV,West,0.51,0.3,0.02,0.72,0.28,0.47,0.56,294000,21703,4.25,4.0,3.0
247,248,Fort Wayne,IN,Midwest,0.41,0.25,0.02,0.5,0.5,0.58,0.55,100000,18419,1.75,4.25,2.75
248,249,Yonkers,NY,Northeast,0.6,0.3,0.01,0.3,0.7,0.38,0.57,355000,33470,3.25,1.0,4.25
249,250,Shreveport,LA,South,0.52,0.26,0.01,0.44,0.56,0.47,0.62,101000,19050,1.75,4.25,1.75
250,251,Worcester,MA,Northeast,0.69,0.29,0.02,0.43,0.57,0.29,0.64,214500,23176,5.0,2.75,2.25
251,252,Garden Grove,CA,West,0.45,0.18,0.02,0.55,0.45,0.53,0.52,535000,23787,1.0,2.0,4.0
252,253,Oceanside,CA,West,0.52,0.27,0.02,0.56,0.44,0.46,0.51,471000,29870,1.75,1.75,3.25
253,254,Fort Lauderdale,FL,South,0.67,0.34,0.01,0.54,0.46,0.32,0.63,267000,24186,4.75,2.75,1.0
254,255,Rockford,IL,Midwest,0.52,0.2,0.02,0.5,0.5,0.46,0.59,78674,19345,2.25,4.25,1.0
255,256,Pomona,CA,West,0.69,0.16,0.02,0.42,0.58,0.29,0.58,380000,28817,1.0,1.75,3.0
256,257,Paterson,NJ,Northeast,0.63,0.12,0.01,0.51,0.49,0.36,0.61,203000,26902,4.0,3.0,2.75
257,258,Savannah,GA,South,0.56,0.25,0.01,0.55,0.45,0.44,0.67,119000,19366,3.75,4.75,2.75
258,259,Gilbert,AZ,West,0.43,0.4,0.02,0.6,0.4,0.55,0.41,285000,19366,4.0,2.0,4.25
259,260,Vallejo,CA,West,0.63,0.23,0.02,0.63,0.37,0.35,0.59,345500,20250,2.25,1.0,1.0
260,261,Stamford,CT,Northeast,0.51,0.47,0.01,0.3,0.7,0.48,0.49,474000,30501,2.25,2.0,4.25
261,262,Simi Valley,CA,West,0.52,0.34,0.02,0.56,0.44,0.46,0.47,520000,33154,1.0,1.0,4.75
262,263,Inglewood,CA,West,0.69,0.18,0.02,0.42,0.58,0.29,0.62,475000,28817,1.0,1.0,3.25
263,264,Green Bay,WI,Midwest,0.49,0.23,0.01,0.27,0.73,0.5,0.57,130850,19829,4.0,4.25,3.25
264,265,South Bend,IN,Midwest,0.51,0.27,0.02,0.56,0.44,0.48,0.59,65000,18861,1.75,4.25,1.75
265,266,Greeley,CO,West,0.42,0.24,0.03,0.63,0.37,0.55,0.54,249000,20840,4.25,2.75,2.75
266,267,Lowell,MA,Northeast,0.63,0.21,0.02,0.26,0.74,0.36,0.6,250000,28628,4.75,2.25,3.0
267,268,Arvada,CO,West,0.51,0.38,0.02,0.64,0.36,0.47,0.47,352000,22524,4.25,1.75,3.75
268,269,Davenport,IA,Midwest,0.56,0.25,0.01,0.52,0.48,0.43,0.55,125000,21050,1.0,5.0,2.0
269,270,Edison,NJ,Northeast,0.63,0.42,0.01,0.4,0.6,0.36,0.43,350000,25239,4.0,1.0,4.0
270,271,Wichita Falls,TX,South,0.26,0.23,0.02,0.38,0.62,0.73,0.53,121000,18208,2.75,5.25,2.0
271,272,Kenosha,WI,Midwest,0.56,0.24,0.01,0.52,0.48,0.43,0.55,149000,22313,4.0,2.25,3.75
272,273,Sugar Land,TX,South,0.46,0.51,0.01,0.54,0.46,0.53,0.34,303000,19429,2.0,1.0,4.0
273,274,Portsmouth,VA,South,0.69,0.19,0.01,0.61,0.39,0.3,0.63,133950,20629,3.25,2.75,1.0
274,275,Compton,CA,West,0.69,0.09,0.02,0.42,0.58,0.29,0.61,325500,28817,1.0,1.0,2.75
275,276,New Bedford,MA,Northeast,0.6,0.13,0.02,0.4,0.6,0.39,0.6,197400,27997,4.75,2.75,2.0
276,277,Lakeland,FL,South,0.46,0.26,0.01,0.58,0.42,0.53,0.58,166900,30123,3.75,4.75,1.0
277,278,Livonia,MI,Midwest,0.73,0.37,0.01,0.62,0.38,0.26,0.47,176000,19934,1.0,3.0,4.0
278,279,Westminster,CA,West,0.45,0.21,0.02,0.55,0.45,0.53,0.5,577700,30901,1.0,2.0,3.25
279,280,West Palm Beach,FL,South,0.58,0.32,0.01,0.44,0.56,0.41,0.64,198000,20208,4.75,3.0,1.75
280,281,San Angelo,TX,South,0.25,0.19,0.02,0.4,0.6,0.73,0.55,122000,18419,3.0,5.25,2.75
281,282,Dearborn,MI,Midwest,0.73,0.25,0.01,0.62,0.38,0.26,0.49,122000,19934,1.0,4.75,3.0
282,283,Kent,WA,West,0.69,0.23,0.02,0.63,0.37,0.29,0.49,339975,23155,5.0,1.0,2.0
283,284,Racine,WI,Midwest,0.51,0.17,0.01,0.4,0.6,0.48,0.6,112400,20419,4.0,4.25,2.75
284,285,Melbourne,FL,South,0.43,0.24,0.01,0.61,0.39,0.56,0.57,145000,18735,5.0,4.0,1.75
285,286,Longview,TX,South,0.3,0.21,0.01,0.27,0.73,0.69,0.56,137000,21134,2.75,5.0,2.0
286,287,Daytona Beach,FL,South,0.49,0.2,0.01,0.63,0.37,0.5,0.69,130538,20376,4.75,4.25,1.0
287,288,Waukesha,WI,Midwest,0.32,0.36,0.01,0.33,0.67,0.67,0.5,216440,21134,4.0,3.25,4.0
288,289,Chico,CA,West,0.46,0.31,0.03,0.73,0.27,0.5,0.61,300000,30901,2.75,5.25,3.25
289,290,Lafayette,IN,Midwest,0.47,0.23,0.02,0.63,0.37,0.51,0.57,96000,18292,2.25,5.0,1.75
290,291,Terre Haute,IN,Midwest,0.5,0.21,0.02,0.66,0.34,0.49,0.66,78000,20482,1.75,5.0,1.75
291,292,Franklin,TN,South,0.26,0.6,0.01,0.45,0.55,0.73,0.4,449900,20019,2.0,1.75,4.25
292,293,Bowling Green,KY,South,0.38,0.26,0.02,0.48,0.52,0.6,0.67,187000,18756,4.0,5.25,2.0
293,294,Battle Creek,MI,Midwest,0.5,0.22,0.01,0.67,0.33,0.49,0.56,121000,18356,2.0,5.0,2.25
294,295,Harrisburg,PA,Northeast,0.52,0.19,0.01,0.5,0.5,0.46,0.71,87000,20713,1.0,4.25,4.0
295,296,Spartanburg,SC,South,0.38,0.28,0.01,0.41,0.59,0.61,0.65,118250,17893,2.75,4.75,1.0
296,297,Panama City,FL,South,0.28,0.23,0.01,0.59,0.41,0.71,0.59,165000,18524,3.75,3.75,1.0
297,298,Florence,SC,South,0.49,0.32,0.01,0.56,0.44,0.5,0.56,141000,19029,1.0,4.75,1.0
298,299,Anderson,SC,South,0.31,0.21,0.02,0.43,0.57,0.67,0.62,149500,18440,2.75,4.75,1.0
299,300,Ypsilanti,MI,Midwest,0.67,0.34,0.01,0.67,0.33,0.32,0.78,161750,19787,2.0,4.25,2.75
300,301,Hyattsville,MD,South,0.9,0.29,0.01,0.69,0.31,0.09,0.64,233450,19619,5.25,1.0,1.0
301,302,New York,NY,Northeast,0.84,0.35,0.01,0.3,0.7,0.15,0.59,616000,47089,3.25,1.0,4.0
302,303,Houston,TX,South,0.49,0.3,0.01,0.5,0.5,0.49,0.57,210000,20629,1.75,2.0,1.0
303,304,Indianapolis,IN,Midwest,0.6,0.28,0.02,0.6,0.4,0.38,0.6,129000,19261,1.0,3.0,1.0
304,305,Jacksonville,FL,South,0.48,0.26,0.01,0.56,0.44,0.51,0.57,165000,21008,5.0,3.0,2.25
305,306,Charlotte,NC,South,0.61,0.4,0.01,0.52,0.48,0.38,0.56,215000,20187,2.25,2.75,2.25
306,307,Fort Worth,TX,South,0.41,0.26,0.02,0.48,0.52,0.57,0.52,189900,21366,2.75,2.0,2.0
307,308,Nashville,TN,South,0.59,0.36,0.02,0.48,0.52,0.4,0.6,212000,19724,2.0,3.0,2.0
308,309,Baltimore,MD,South,0.87,0.27,0.02,0.54,0.46,0.11,0.71,139900,23450,2.0,1.0,1.0
309,310,El Paso,TX,South,0.66,0.23,0.01,0.37,0.63,0.33,0.49,116000,19366,4.0,3.0,3.75
310,311,Oklahoma City,OK,South,0.42,0.29,0.0,0.34,0.66,0.58,0.52,162508,18314,3.75,4.0,1.0
311,312,Mesa,AZ,West,0.43,0.25,0.02,0.6,0.4,0.55,0.51,220000,19703,4.0,2.25,3.25
312,313,Sacramento,CA,West,0.57,0.29,0.02,0.63,0.37,0.41,0.59,285250,24439,2.75,2.75,2.25
313,314,Tulsa,OK,South,0.36,0.3,0.0,0.43,0.57,0.64,0.56,148500,17977,2.75,4.75,1.0
314,315,Miami,FL,South,0.62,0.23,0.01,0.6,0.4,0.38,0.64,270000,23702,4.75,1.75,1.0
315,316,Aurora,CO,West,0.56,0.27,0.03,0.7,0.3,0.41,0.54,280000,22671,4.25,1.0,3.0
316,317,Toledo,OH,Midwest,0.64,0.17,0.02,0.51,0.49,0.34,0.64,60000,19577,1.75,4.25,1.0
317,318,Corpus Christi,TX,South,0.48,0.2,0.01,0.44,0.56,0.51,0.53,130000,20019,2.0,4.0,1.75
318,319,Hialeah,FL,South,0.62,0.15,0.01,0.6,0.4,0.38,0.57,225000,23702,4.75,2.25,3.25
319,320,Baton Rouge,LA,South,0.52,0.34,0.02,0.47,0.53,0.47,0.69,199000,19219,1.0,3.75,1.0
320,321,Garland,TX,South,0.57,0.21,0.01,0.45,0.55,0.42,0.49,179000,19577,3.0,1.75,3.0
321,322,Mobile,AL,South,0.45,0.26,0.01,0.47,0.53,0.54,0.62,111000,19345,2.25,4.0,2.0
322,323,Chula Vista,CA,West,0.52,0.28,0.02,0.56,0.44,0.46,0.49,460000,29870,1.75,1.75,4.0
323,324,Springfield,MA,Northeast,0.44,0.18,0.02,0.35,0.65,0.54,0.66,137000,19092,5.0,3.25,1.0
324,325,Fontana,CA,West,0.52,0.15,0.02,0.58,0.42,0.46,0.51,342000,23787,5.25,1.0,4.0
325,326,Escondido,CA,West,0.52,0.21,0.02,0.56,0.44,0.46,0.5,459000,29870,1.75,2.75,3.25
326,327,Grand Prairie,TX,South,0.57,0.21,0.01,0.45,0.55,0.42,0.48,195000,20440,3.0,2.0,3.25
327,328,Hampton,VA,South,0.72,0.21,0.01,0.64,0.36,0.27,0.58,161550,20503,3.25,3.25,3.0
328,329,Peoria,AZ,West,0.43,0.29,0.02,0.6,0.4,0.55,0.48,249000,20650,4.0,1.75,3.75
329,330,Mcallen,TX,South,0.7,0.25,0.01,0.5,0.5,0.29,0.48,121000,16251,1.0,3.75,2.75
330,331,Mesquite,TX,South,0.57,0.15,0.01,0.45,0.55,0.42,0.51,149450,20440,2.75,1.0,2.0
331,332,Coral Springs,FL,South,0.67,0.38,0.01,0.54,0.46,0.32,0.51,315000,23576,4.75,1.75,4.0
332,333,Hartford,CT,Northeast,0.93,0.16,0.01,0.43,0.57,0.06,0.74,103000,26207,3.0,3.75,2.0
333,334,Evansville,IN,Midwest,0.44,0.18,0.02,0.49,0.51,0.55,0.61,110000,19387,1.75,4.75,1.75
334,335,Independence,MO,Midwest,0.59,0.17,0.02,0.49,0.51,0.4,0.54,101000,19598,3.0,3.25,1.0
335,336,Elizabeth,NJ,Northeast,0.66,0.1,0.01,0.35,0.65,0.33,0.62,269000,26313,3.25,2.0,3.0
336,337,El Monte,CA,West,0.69,0.12,0.02,0.42,0.58,0.29,0.51,455000,28817,1.0,1.0,4.0
337,338,Lansing,MI,Midwest,0.63,0.25,0.01,0.6,0.4,0.36,0.66,145000,17893,2.75,4.75,2.25
338,339,Allentown,PA,Northeast,0.53,0.16,0.01,0.43,0.57,0.46,0.62,148000,21787,1.0,3.0,2.75
339,340,Elgin,IL,Midwest,0.5,0.23,0.02,0.44,0.56,0.49,0.49,175000,21471,1.75,1.0,4.0
340,341,Norwalk,CA,West,0.69,0.15,0.02,0.42,0.58,0.29,0.57,440000,30501,1.0,1.0,3.75
341,342,Odessa,TX,South,0.25,0.17,0.01,0.46,0.54,0.74,0.52,203000,20797,4.0,4.75,2.0
342,343,Thornton,CO,West,0.56,0.25,0.03,0.7,0.3,0.41,0.47,312000,22313,4.25,1.0,3.25
343,344,South Gate,CA,West,0.69,0.07,0.02,0.42,0.58,0.29,0.57,390000,28817,1.0,1.0,3.0
344,345,Fairfield,CA,West,0.63,0.25,0.02,0.63,0.37,0.35,0.52,425000,30901,2.25,1.75,3.0
345,346,Gresham,OR,West,0.76,0.19,0.03,0.54,0.46,0.21,0.54,304000,27049,5.25,1.75,2.0
346,347,Clinton Township,MI,Midwest,0.49,0.24,0.01,0.6,0.4,0.5,0.39,157000,17893,1.0,1.75,3.75
347,348,Ogden,UT,West,0.26,0.19,0.02,0.3,0.7,0.72,0.56,175000,18103,5.0,4.0,1.75
348,349,Reading,PA,Northeast,0.49,0.08,0.02,0.46,0.54,0.5,0.66,114900,21282,1.0,1.75,2.75
349,350,Pompano Beach,FL,South,0.67,0.23,0.01,0.54,0.46,0.32,0.61,162000,20376,4.75,2.25,1.0
350,351,Broken Arrow,OK,South,0.36,0.31,0.0,0.43,0.57,0.64,0.44,162000,17977,4.0,4.0,4.0
351,352,Sparks,NV,West,0.51,0.22,0.02,0.72,0.28,0.47,0.5,269945,21703,2.75,3.0,3.25
352,353,Kalamazoo,MI,Midwest,0.56,0.33,0.01,0.65,0.35,0.43,0.74,140950,17745,2.25,4.75,3.0
353,354,Bethlehem,PA,Northeast,0.52,0.24,0.01,0.32,0.68,0.47,0.65,180000,21787,1.0,3.25,3.25
354,355,Napa,CA,West,0.62,0.28,0.02,0.62,0.38,0.36,0.51,612500,30901,1.0,3.75,4.0
355,356,Scranton,PA,Northeast,0.63,0.21,0.01,0.34,0.66,0.36,0.65,82000,21282,1.0,4.75,3.25
356,357,Lynchburg,VA,South,0.44,0.32,0.01,0.48,0.52,0.55,0.65,151000,18945,4.25,5.0,3.25
357,358,Nampa,ID,West,0.3,0.21,0.03,0.59,0.41,0.67,0.51,146000,19492,5.0,2.75,3.75
358,359,Marietta,GA,South,0.43,0.37,0.02,0.54,0.46,0.56,0.57,268000,18945,2.0,1.75,2.0
359,360,Rock Hill,SC,South,0.39,0.26,0.02,0.5,0.5,0.6,0.59,165000,21282,2.25,2.75,2.25
360,361,Boynton Beach,FL,South,0.58,0.26,0.01,0.44,0.56,0.41,0.59,230000,20376,1.75,2.25,2.0
361,362,Tracy,CA,West,0.53,0.19,0.02,0.62,0.38,0.45,0.42,449000,26228,4.25,1.0,3.75
362,363,Springfield,OH,Midwest,0.48,0.15,0.02,0.66,0.34,0.5,0.63,62000,19092,1.75,4.0,1.0
363,364,Frederick,MD,South,0.47,0.36,0.02,0.52,0.48,0.51,0.57,262950,27155,2.0,1.0,3.25
364,365,Ocala,FL,South,0.41,0.24,0.01,0.66,0.34,0.58,0.58,119000,19598,3.75,4.25,1.0
365,366,Valdosta,GA,South,0.44,0.24,0.01,0.56,0.44,0.55,0.65,122000,19177,1.75,5.25,2.75
366,367,Pearland,TX,South,0.32,0.4,0.01,0.47,0.53,0.66,0.36,251500,19429,2.0,1.0,4.0
367,368,Mansfield,OH,Midwest,0.39,0.13,0.02,0.62,0.38,0.59,0.61,69000,19198,2.0,5.25,1.0
368,369,York,PA,Northeast,0.39,0.1,0.01,0.55,0.45,0.6,0.67,73000,21282,1.0,3.0,2.75
369,370,La Puente,CA,West,0.69,0.11,0.02,0.42,0.58,0.29,0.54,407000,28817,1.0,1.0,4.25
370,371,Cleveland,TN,South,0.22,0.25,0.01,0.43,0.57,0.76,0.55,132000,18587,2.25,5.0,1.0
371,372,Hagerstown,MD,South,0.4,0.14,0.02,0.55,0.45,0.58,0.59,166500,19050,1.0,3.0,2.25
372,373,Lakewood,NJ,Northeast,0.41,0.26,0.01,0.48,0.52,0.58,0.49,314000,25681,4.0,4.0,4.75
373,374,Lake Worth,FL,South,0.58,0.2,0.01,0.45,0.55,0.41,0.65,220000,21808,4.75,1.0,1.0
374,375,Summerville,SC,South,0.41,0.28,0.02,0.54,0.46,0.57,0.46,190000,19366,5.0,1.75,3.0
375,376,Jackson,MI,Midwest,0.47,0.14,0.01,0.65,0.35,0.52,0.65,92000,19598,1.0,4.75,1.0
376,377,Gainesville,GA,South,0.21,0.21,0.01,0.53,0.47,0.78,0.58,195000,20292,1.0,3.0,2.25
377,378,Winter Haven,FL,South,0.46,0.18,0.01,0.58,0.42,0.53,0.56,145000,18103,3.75,2.25,2.0
378,379,Duluth,GA,South,0.45,0.43,0.01,0.58,0.42,0.54,0.49,259200,18945,2.25,1.75,3.75
379,380,Kennesaw,GA,South,0.43,0.37,0.02,0.54,0.46,0.56,0.52,205000,18945,2.25,1.0,4.25
380,381,Fredericksburg,VA,South,0.62,0.34,0.02,0.0,1.0,0.36,0.67,276750,28207,2.25,1.75,2.25
381,382,Laurel,MD,South,0.9,0.39,0.01,0.69,0.31,0.09,0.61,308500,27786,2.25,1.0,3.0
382,383,Plainfield,IL,Midwest,0.51,0.49,0.02,0.46,0.54,0.47,0.38,228500,21303,1.75,1.0,4.75
383,384,Norcross,GA,South,0.45,0.25,0.01,0.58,0.42,0.54,0.5,175000,18945,2.0,1.0,2.0
384,385,Memphis,TN,South,0.63,0.24,0.01,0.59,0.41,0.37,0.65,119900,18061,2.75,3.25,1.0
385,386,Cleveland,OH,Midwest,0.69,0.15,0.01,0.42,0.58,0.3,0.73,55000,21366,2.0,2.25,1.0
386,387,Cincinnati,OH,Midwest,0.52,0.31,0.01,0.51,0.49,0.47,0.71,132000,19198,1.0,3.25,1.0
387,388,Birmingham,AL,South,0.53,0.24,0.0,0.4,0.6,0.47,0.69,205000,19303,1.0,3.25,1.0
388,389,Winston Salem,NC,South,0.53,0.34,0.01,0.5,0.5,0.46,0.59,120000,20208,2.75,4.0,1.0
389,390,Montgomery,AL,South,0.62,0.31,0.01,0.49,0.51,0.38,0.59,173000,19703,1.0,4.75,2.25
390,391,Knoxville,TN,South,0.34,0.3,0.02,0.38,0.62,0.64,0.62,175750,18356,2.25,4.0,1.0
391,392,Augusta,GA,South,0.67,0.21,0.0,0.55,0.45,0.33,0.54,84000,18292,3.0,4.0,1.75
392,393,Corona,CA,West,0.49,0.27,0.02,0.57,0.43,0.49,0.48,452000,19219,1.0,1.0,4.0
393,394,Pasadena,TX,South,0.49,0.15,0.01,0.5,0.5,0.49,0.52,151000,19156,2.0,1.75,2.75
394,395,Brownsville,TX,South,0.66,0.18,0.01,0.47,0.53,0.33,0.5,79000,16777,2.0,4.25,2.25
395,396,North Las Vegas,NV,West,0.56,0.17,0.02,0.64,0.36,0.42,0.53,191500,22671,3.75,2.0,3.0
396,397,Dayton,OH,Midwest,0.51,0.18,0.02,0.58,0.42,0.48,0.69,53000,19998,2.75,3.75,1.0
397,398,Hollywood,FL,South,0.67,0.26,0.01,0.54,0.46,0.32,0.58,235500,28817,4.75,1.0,2.0
398,399,Pembroke Pines,FL,South,0.67,0.34,0.01,0.54,0.46,0.32,0.48,264500,23576,4.75,1.0,3.75
399,400,Joliet,IL,Midwest,0.51,0.24,0.02,0.46,0.54,0.47,0.52,156000,21303,1.75,1.0,3.75
400,401,Sterling Heights,MI,Midwest,0.52,0.27,0.01,0.56,0.44,0.48,0.47,181000,19156,1.0,1.75,4.0
401,402,Fayetteville,NC,South,0.6,0.23,0.01,0.65,0.35,0.4,0.53,115000,18777,3.75,4.0,1.0
402,403,Clarksville,TN,South,0.44,0.23,0.02,0.55,0.45,0.54,0.48,167500,19703,2.75,3.25,3.0
403,404,Lancaster,CA,West,0.69,0.14,0.02,0.42,0.58,0.29,0.56,236000,28817,1.0,1.0,3.75
404,405,Waterbury,CT,Northeast,0.89,0.14,0.01,0.46,0.54,0.1,0.59,107000,27365,3.0,2.75,2.25
405,406,West Covina,CA,West,0.69,0.24,0.02,0.42,0.58,0.29,0.54,467500,28817,1.0,1.0,3.0
406,407,Brockton,MA,Northeast,0.51,0.17,0.01,0.42,0.58,0.48,0.59,269500,27997,4.75,1.0,2.25
407,408,Macon,GA,South,0.6,0.15,0.01,0.53,0.47,0.4,0.7,93000,18103,3.25,4.0,1.0
408,409,Murfreesboro,TN,South,0.37,0.36,0.02,0.62,0.38,0.62,0.56,219000,19724,2.0,1.0,2.75
409,410,Toms River,NJ,Northeast,0.41,0.32,0.01,0.48,0.52,0.58,0.49,195000,25260,4.0,1.0,3.25
410,411,North Charleston,SC,South,0.5,0.19,0.02,0.57,0.43,0.48,0.62,174000,21261,5.0,3.0,1.0
411,412,Lawton,OK,South,0.42,0.18,0.0,0.43,0.57,0.59,0.54,79000,19429,4.25,5.25,1.0
412,413,Redding,CA,West,0.34,0.2,0.02,0.76,0.24,0.64,0.48,244000,30901,5.25,5.25,2.0
413,414,Palm Bay,FL,South,0.43,0.2,0.01,0.61,0.39,0.56,0.53,142000,20208,5.0,2.0,4.0
414,415,Canton,OH,Midwest,0.49,0.16,0.02,0.48,0.52,0.49,0.59,98000,19998,2.25,3.75,1.0
415,416,Missouri City,TX,South,0.46,0.44,0.01,0.54,0.46,0.53,0.43,241750,19577,2.0,1.0,4.25
416,417,Baytown,TX,South,0.49,0.13,0.01,0.5,0.5,0.49,0.51,173000,19219,1.75,3.25,1.75
417,418,Clovis,CA,West,0.48,0.27,0.02,0.52,0.48,0.51,0.54,304000,30901,1.0,4.75,3.0
418,419,Yakima,WA,West,0.42,0.16,0.01,0.61,0.39,0.57,0.52,173000,20040,2.75,5.0,1.75
419,420,Albany,GA,South,0.69,0.2,0.0,0.56,0.44,0.3,0.65,88000,19071,2.0,5.25,1.0
420,421,Youngstown,OH,Midwest,0.63,0.11,0.01,0.35,0.65,0.36,0.69,76048,17261,1.75,3.75,1.0
421,422,Elk Grove,CA,West,0.57,0.34,0.02,0.63,0.37,0.41,0.48,360000,30901,2.75,1.0,4.0
422,423,Schenectady,NY,Northeast,0.57,0.19,0.02,0.3,0.7,0.41,0.68,148500,23765,4.25,2.75,2.0
423,424,Fort Myers,FL,South,0.41,0.24,0.01,0.62,0.38,0.58,0.59,206505,24186,4.75,2.0,2.25
424,425,Edinburg,TX,South,0.7,0.28,0.01,0.5,0.5,0.29,0.51,132000,16251,1.0,2.75,1.75
425,426,Mission,TX,South,0.7,0.27,0.01,0.5,0.5,0.29,0.42,120000,16251,1.0,3.25,3.0
426,427,Saginaw,MI,Midwest,0.56,0.11,0.01,0.51,0.49,0.44,0.69,72900,18692,1.0,4.25,2.0
427,428,Elkhart,IN,Midwest,0.36,0.13,0.02,0.62,0.38,0.63,0.59,112000,18861,1.0,4.0,3.75
428,429,Bowie,MD,South,0.9,0.47,0.01,0.69,0.31,0.09,0.5,312850,27997,2.0,1.0,4.25
429,430,Florissant,MO,Midwest,0.56,0.21,0.01,0.43,0.57,0.43,0.55,93900,19324,1.0,2.25,4.0
430,431,Muskegon,MI,Midwest,0.58,0.11,0.01,0.65,0.35,0.41,0.7,95000,17261,1.0,4.25,1.0
431,432,Brooklyn,NY,Northeast,0.82,0.22,0.01,0.37,0.63,0.17,0.52,607000,36901,3.25,1.0,4.0
432,433,Philadelphia,PA,Northeast,0.85,0.24,0.01,0.47,0.53,0.14,0.69,175000,25386,1.75,1.0,2.25
433,434,Detroit,MI,Midwest,0.73,0.13,0.01,0.62,0.38,0.26,0.74,24250,19934,1.0,2.0,1.0
434,435,Louisville,KY,South,0.55,0.21,0.01,0.45,0.55,0.44,0.62,169900,19724,1.0,4.0,2.75
435,436,Newark,NJ,Northeast,0.77,0.12,0.01,0.43,0.57,0.22,0.68,220000,26313,3.25,1.0,2.25
436,437,Laredo,TX,South,0.77,0.17,0.01,0.26,0.74,0.23,0.49,125000,17682,1.0,3.75,2.25
437,438,Akron,OH,Midwest,0.57,0.19,0.01,0.53,0.47,0.42,0.67,83400,21787,1.0,4.0,1.0
438,439,Columbus,GA,South,0.6,0.2,0.01,0.5,0.5,0.39,0.52,95000,18777,1.75,4.0,1.0
439,440,Jackson,MS,South,0.72,0.25,0.01,0.45,0.55,0.27,0.72,61000,19598,1.0,4.0,1.0
440,441,Aurora,IL,Midwest,0.5,0.28,0.02,0.44,0.56,0.49,0.48,178500,22671,1.75,1.75,4.25
441,442,Port Saint Lucie,FL,South,0.54,0.24,0.01,0.61,0.39,0.46,0.46,187000,18945,4.0,1.0,4.25
442,443,Rancho Cucamonga,CA,West,0.52,0.32,0.02,0.58,0.42,0.46,0.5,470000,24418,1.0,1.0,4.0
443,444,Warren,MI,Midwest,0.52,0.16,0.01,0.56,0.44,0.48,0.56,113000,17261,1.0,2.75,3.25
444,445,Cape Coral,FL,South,0.41,0.19,0.01,0.62,0.38,0.58,0.47,206500,19366,4.75,1.0,4.0
